"mirtarbase","wptargets"
"mmu-let-7a-5p","WP222, WP3632"
"mmu-let-7b-5p","WP441, WP509"
"mmu-let-7c-5p","WP1254, WP1261, WP1763, WP2432, WP339, WP350, WP3979, WP403, WP413, WP493, WP572, WP723"
"mmu-let-7d-5p","WP1396, WP189, WP570"
"mmu-let-7e-5p","WP113, WP1266, WP193, WP222, WP2316, WP238, WP2432, WP2573, WP2841, WP2902, WP336, WP3592, WP3855, WP447, WP458, WP523, WP6, WP85, WP88"
"mmu-let-7i-5p","WP1266, WP1596, WP222, WP2432, WP2841, WP3632, WP385, WP3855, WP387, WP447, WP458, WP85"
"mmu-miR-101a-3p","WP10, WP1244, WP1249, WP1254, WP1270, WP1272, WP1396, WP1498, WP151, WP1560, WP1763, WP189, WP2292, WP246, WP2573, WP265, WP2841, WP295, WP297, WP310, WP318, WP339, WP3675, WP37, WP373, WP374, WP385, WP387, WP407, WP450, WP488, WP493, WP539, WP57, WP572, WP578, WP6, WP65, WP85"
"mmu-miR-101b-3p","WP2841, WP310, WP65, WP683"
"mmu-miR-103-3p","WP2910, WP493"
"mmu-miR-106a-5p","WP10, WP113, WP1249, WP1270, WP1498, WP151, WP1560, WP1763, WP193, WP202, WP2067, WP2075, WP2292, WP265, WP2841, WP297, WP339, WP37, WP373, WP3864, WP387, WP407, WP447, WP450, WP512, WP572, WP578, WP85"
"mmu-miR-106b-5p","WP10, WP113, WP1244, WP1249, WP1254, WP1498, WP151, WP1560, WP1763, WP193, WP2292, WP251, WP265, WP2872, WP297, WP339, WP350, WP3638, WP3663, WP373, WP3855, WP387, WP407, WP412, WP447, WP450, WP493, WP512, WP544, WP572, WP578, WP65, WP88"
"mmu-miR-107-3p","WP1763, WP2087, WP2841, WP2902, WP413, WP447"
"mmu-miR-10a-3p","WP1244, WP1246, WP1263, WP1266, WP1763, WP2087, WP2841, WP2872, WP2910, WP350, WP373, WP385, WP447, WP450, WP572"
"mmu-miR-10a-5p","WP1244, WP1254, WP1270, WP1397, WP1560, WP1763, WP189, WP2074, WP2872, WP297, WP373, WP3855, WP6"
"mmu-miR-122-5p","WP113, WP1254, WP1261, WP1266, WP1270, WP1498, WP151, WP1560, WP157, WP1596, WP1763, WP1770, WP2087, WP2185, WP2432, WP246, WP2910, WP339, WP350, WP3625, WP3638, WP3673, WP3979, WP403, WP413, WP434, WP447, WP493, WP522, WP572, WP662, WP723, WP79"
"mmu-miR-124-3p","WP10, WP108, WP113, WP1243, WP1244, WP1249, WP1254, WP1266, WP1269, WP1270, WP1496, WP1498, WP151, WP1560, WP166, WP1763, WP193, WP1983, WP2067, WP2074, WP2292, WP2432, WP246, WP251, WP2573, WP265, WP2841, WP2872, WP29, WP2910, WP297, WP298, WP310, WP339, WP350, WP3592, WP3638, WP3675, WP37, WP373, WP385, WP387, WP3991, WP407, WP412, WP447, WP450, WP458, WP488, WP493, WP512, WP523, WP539, WP572, 
WP578, WP6, WP65, WP85, WP88"
"mmu-miR-124-5p","WP1270, WP1498, WP1526, WP1763, WP2067, WP2074, WP2316, WP2432, WP265, WP2841, WP2852, WP29, WP310, WP339, WP447, WP523, WP539, WP723"
"mmu-miR-125a-5p","WP10, WP113, WP1243, WP1249, WP1253, WP1496, WP1498, WP151, WP1560, WP1763, WP193, WP202, WP222, WP2292, WP2432, WP246, WP265, WP2841, WP297, WP310, WP317, WP339, WP3592, WP3632, WP37, WP373, WP387, WP407, WP447, WP450, WP458, WP493, WP519, WP539, WP572, WP578, WP723, WP88"
"mmu-miR-125b-1-3p","WP1244, WP2067, WP310, WP493, WP509, WP65"
"mmu-miR-125b-2-3p","WP297, WP307, WP512"
"mmu-miR-125b-5p","WP10, WP108, WP113, WP116, WP1243, WP1244, WP1249, WP1254, WP1261, WP1266, WP1270, WP1396, WP1496, WP1498, WP151, WP1560, WP1596, WP1763, WP193, WP202, WP2074, WP2075, WP222, WP2292, WP2432, WP246, WP251, WP265, WP29, WP297, WP339, WP3632, WP3663, WP3675, WP373, WP385, WP387, WP403, WP407, WP41, WP441, WP447, WP450, WP493, WP539, WP571, WP572, WP578, WP65, WP723, WP85"
"mmu-miR-126a-3p","WP10, WP1249, WP1253, WP1270, WP1396, WP151, WP1560, WP1763, WP202, WP2067, WP2292, WP265, WP2841, WP297, WP298, WP339, WP3592, WP3626, WP3675, WP373, WP3857, WP3864, WP387, WP403, WP407, WP41, WP435, WP447, WP450, WP488, WP512, WP523, WP539, WP572, WP578, WP6, WP65, WP723, WP730, WP85"
"mmu-miR-126a-5p","WP1253, WP3592, WP373"
"mmu-miR-127-3p","WP2910, WP3626"
"mmu-miR-128-3p","WP2074, WP2910, WP493"
"mmu-miR-130a-3p","WP1253, WP1254, WP1560, WP1763, WP297, WP310, WP339, WP387, WP447"
"mmu-miR-130b-3p","WP113, WP1253, WP1254, WP1270, WP1498, WP1560, WP1763, WP222, WP2432, WP2573, WP297, WP3632, WP447, WP493"
"mmu-miR-132-3p","WP113, WP1244, WP1266, WP1270, WP1498, WP151, WP175, WP1763, WP2075, WP2292, WP2432, WP265, WP2841, WP2910, WP297, WP310, WP3632, WP373, WP387, WP407, WP441, WP450, WP493, WP509, WP522, WP539, WP65, WP723"
"mmu-miR-133a-3p","WP113, WP1254, WP1270, WP1396, WP1496, WP1560, WP166, WP189, WP2067, WP2075, WP2087, WP2185, WP2292, WP232, WP2432, WP273, WP2841, WP2902, WP295, WP297, WP298, WP350, WP3638, WP3675, WP373, WP385, WP3855, WP3857, WP387, WP3979, WP403, WP41, WP413, WP488, WP493, WP512, WP523, WP539, WP553, WP570, WP571, WP572, WP6, WP65, WP723, WP85"
"mmu-miR-133a-5p","WP1763, WP201, WP2074, WP265, WP29, WP310"
"mmu-miR-133b-3p","WP1498, WP310"
"mmu-miR-134-5p","WP1244, WP1246, WP1254, WP1263, WP1266, WP1498, WP166, WP1763, WP2075, WP2087, WP2271, WP232, WP246, WP2841, WP2872, WP2910, WP298, WP310, WP350, WP373, WP385, WP447, WP450, WP458, WP509, WP523, WP553, WP571, WP572, WP723, WP88"
"mmu-miR-135a-5p","WP113, WP339, WP3663, WP512"
"mmu-miR-135b-5p","WP202, WP2432, WP37, WP493"
"mmu-miR-137-3p","WP1763, WP2910, WP431, WP493, WP509"
"mmu-miR-138-5p","WP108, WP113, WP1244, WP1254, WP1261, WP1498, WP151, WP1763, WP193, WP2075, WP2084, WP2087, WP2432, WP251, WP265, WP2872, WP2902, WP339, WP3663, WP373, WP385, WP387, WP403, WP413, WP447, WP493, WP539, WP571, WP572, WP65, WP723, WP85"
"mmu-miR-139-5p","WP10, WP1249, WP1397, WP1763, WP189, WP201, WP2067, WP2074, WP2573, WP265, WP2841, WP2852, WP2872, WP29, WP297, WP3663, WP3675, WP373, WP387, WP447, WP450, WP488, WP512, WP572, WP578, WP6, WP65"
"mmu-miR-140-3p","WP2841, WP458, WP523, WP85"
"mmu-miR-140-5p","WP113, WP1244, WP1270, WP1560, WP1763, WP2074, WP2292, WP265, WP273, WP339, WP350, WP3625, WP3675, WP3857, WP403, WP447, WP488, WP493, WP512, WP539, WP572, WP723"
"mmu-miR-141-3p","WP113, WP116, WP1244, WP1254, WP1270, WP151, WP1560, WP202, WP2074, WP251, WP2910, WP350, WP3638, WP373, WP387, WP412, WP450, WP493, WP572, WP65, WP88"
"mmu-miR-142a-3p","WP1243, WP1560, WP1763, WP2185, WP2292, WP232, WP339, WP3592, WP37, WP385, WP387, WP447, WP544, WP553, WP88"
"mmu-miR-143-3p","WP1243, WP1244, WP1246, WP1256, WP1261, WP151, WP1763, WP1770, WP193, WP2292, WP232, WP2432, WP251, WP2841, WP339, WP350, WP3675, WP37, WP373, WP385, WP387, WP403, WP435, WP450, WP493, WP512, WP523, WP539, WP553, WP571, WP572, WP65, WP723, WP730, WP85"
"mmu-miR-143-5p","WP1763, WP339, WP403, WP435, WP523, WP539, WP723, WP730"
"mmu-miR-144-3p","WP1, WP1243, WP1270, WP1496, WP1763, WP193, WP246, WP2841, WP2902, WP310, WP339, WP3592, WP3675, WP37, WP407, WP431, WP493, WP65, WP683, WP85, WP88"
"mmu-miR-145a-5p","WP10, WP1246, WP1249, WP1270, WP1498, WP151, WP1560, WP1763, WP2074, WP2087, WP2292, WP232, WP2432, WP251, WP273, WP2841, WP2872, WP2902, WP297, WP3675, WP373, WP385, WP3855, WP387, WP3979, WP403, WP413, WP447, WP450, WP488, WP493, WP509, WP512, WP523, WP539, WP553, WP572, WP578, WP65, WP723, WP85"
"mmu-miR-146a-3p","WP113, WP1243, WP1261, WP1496, WP1560, WP1763, WP201, WP2067, WP2074, WP246, WP2573, WP265, WP2852, WP29, WP310, WP3592, WP3663, WP37, WP385, WP493, WP512, WP539, WP553, WP572, WP88"
"mmu-miR-146a-5p","WP10, WP113, WP1243, WP1249, WP1253, WP1266, WP1270, WP1496, WP1498, WP151, WP1560, WP1763, WP201, WP202, WP2067, WP2074, WP2075, WP222, WP2292, WP2316, WP2432, WP246, WP2573, WP265, WP2841, WP2852, WP2872, WP29, WP297, WP310, WP339, WP350, WP3592, WP3652, WP3663, WP37, WP373, WP385, WP3857, WP387, WP403, WP407, WP431, WP447, WP450, WP458, WP493, WP509, WP512, WP519, WP539, WP553, WP572, WP723, 
WP88"
"mmu-miR-146b-5p","WP108, WP113, WP1243, WP1244, WP1254, WP1266, WP1496, WP151, WP1560, WP166, WP1763, WP201, WP2067, WP2074, WP2084, WP2292, WP246, WP2573, WP265, WP2852, WP29, WP339, WP3663, WP3675, WP37, WP373, WP385, WP387, WP3991, WP412, WP450, WP493, WP512, WP539, WP88"
"mmu-miR-148a-3p","WP113, WP1261, WP1498, WP1560, WP1763, WP193, WP2074, WP2292, WP2841, WP2902, WP298, WP339, WP3675, WP385, WP3857, WP403, WP435, WP447, WP488, WP523, WP539, WP553, WP572, WP6, WP65, WP723, WP730, WP85"
"mmu-miR-148b-3p","WP1261, WP1763, WP385, WP435, WP539, WP553, WP572, WP730"
"mmu-miR-150-5p","WP10, WP1244, WP1249, WP1254, WP1261, WP1263, WP1266, WP1270, WP1396, WP151, WP1560, WP1763, WP189, WP193, WP202, WP2067, WP2074, WP2084, WP2292, WP234, WP246, WP251, WP2573, WP265, WP2841, WP2872, WP297, WP310, WP339, WP350, WP3632, WP3675, WP37, WP373, WP3864, WP387, WP407, WP447, WP450, WP454, WP488, WP493, WP512, WP523, WP539, WP57, WP571, WP572, WP578, WP6, WP65, WP85, WP88"
"mmu-miR-151-5p","WP2841, WP458"
"mmu-miR-152-3p","WP1261, WP1763, WP193, WP2841, WP2902, WP339, WP3675, WP385, WP435, WP539, WP553, WP572, WP65, WP730, WP85"
"mmu-miR-153-3p","WP1763, WP2075, WP297, WP407, WP553"
"mmu-miR-154-5p","WP339, WP3857, WP403, WP723"
"mmu-miR-155-3p","WP1249, WP1253, WP151, WP1763, WP2074, WP3855, WP407, WP447, WP450, WP572, WP578, WP65"
"mmu-miR-155-5p","WP108, WP113, WP1244, WP1245, WP1249, WP1253, WP1254, WP1261, WP1270, WP151, WP1560, WP166, WP1763, WP193, WP2074, WP2075, WP2084, WP2087, WP2140, WP2141, WP2292, WP2316, WP232, WP2432, WP246, WP2573, WP265, WP273, WP2841, WP2872, WP2902, WP297, WP298, WP317, WP339, WP350, WP3592, WP3625, WP3632, WP37, WP373, WP385, WP3855, WP3857, WP387, WP403, WP407, WP412, WP431, WP447, WP450, WP488, WP493, 
WP509, WP523, WP539, WP544, WP571, WP572, WP578, WP65, WP723, WP85, WP88"
"mmu-miR-15a-5p","WP1244, WP1254, WP1256, WP1270, WP1496, WP1560, WP1763, WP1983, WP202, WP2067, WP2074, WP2087, WP2432, WP2841, WP2852, WP2902, WP2910, WP339, WP3632, WP373, WP3855, WP3857, WP3864, WP387, WP3979, WP403, WP413, WP450, WP458, WP512, WP523, WP539, WP571, WP723, WP85"
"mmu-miR-15b-5p","WP1254, WP246, WP509, WP88"
"mmu-miR-16-5p","WP108, WP113, WP1244, WP1254, WP1256, WP1261, WP1266, WP1270, WP1496, WP151, WP1560, WP1763, WP193, WP1983, WP202, WP2067, WP2074, WP2075, WP2087, WP2432, WP251, WP2573, WP265, WP2841, WP2852, WP29, WP2902, WP2910, WP339, WP3632, WP3638, WP3663, WP373, WP385, WP3855, WP3857, WP386, WP3864, WP387, WP3979, WP403, WP413, WP450, WP458, WP493, WP512, WP523, WP539, WP571, WP572, WP65, WP723, WP85
"
"mmu-miR-17-3p","WP1270, WP1763, WP202, WP2067, WP2841, WP3864, WP447, WP512, WP85"
"mmu-miR-17-5p","WP10, WP113, WP1244, WP1249, WP1254, WP1270, WP1498, WP151, WP1560, WP1763, WP1770, WP193, WP201, WP202, WP2067, WP2292, WP251, WP265, WP2841, WP2902, WP297, WP339, WP350, WP3632, WP3638, WP3663, WP3675, WP37, WP373, WP3855, WP3864, WP387, WP407, WP412, WP435, WP441, WP447, WP450, WP493, WP512, WP523, WP572, WP578, WP65, WP730, WP85, WP88"
"mmu-miR-181a-5p","WP10, WP113, WP1244, WP1249, WP1254, WP1496, WP1498, WP151, WP1560, WP1596, WP164, WP1763, WP193, WP202, WP2067, WP2074, WP222, WP2292, WP2432, WP265, WP2910, WP297, WP339, WP3632, WP37, WP373, WP385, WP3855, WP387, WP3991, WP407, WP447, WP450, WP493, WP553, WP571, WP572, WP578, WP662, WP730, WP85"
"mmu-miR-181b-1-3p","WP318"
"mmu-miR-181b-5p","WP113, WP1266, WP1270, WP1498, WP1560, WP1596, WP1763, WP222, WP2432, WP2573, WP3632, WP3638, WP385, WP387, WP441, WP447, WP493, WP519"
"mmu-miR-181c-3p","WP2841, WP2872, WP297, WP3675, WP373, WP387, WP447, WP572, WP65"
"mmu-miR-182-3p","WP2432"
"mmu-miR-182-5p","WP10, WP1244, WP1249, WP1254, WP1270, WP151, WP1560, WP1763, WP2074, WP2292, WP2432, WP246, WP2573, WP265, WP2841, WP29, WP297, WP339, WP3592, WP3675, WP37, WP373, WP387, WP407, WP450, WP488, WP493, WP512, WP539, WP57, WP572, WP578, WP6, WP65, WP723, WP85, WP88"
"mmu-miR-183-5p","WP113, WP1560, WP2573, WP339, WP3857, WP539, WP723"
"mmu-miR-184-3p","WP1396, WP265, WP29, WP339, WP3857, WP539, WP723"
"mmu-miR-185-5p","WP113, WP151, WP1560, WP1763, WP201, WP2067, WP2074, WP2432, WP2573, WP339, WP3857, WP403, WP447, WP512, WP539, WP723"
"mmu-miR-186-5p","WP2075, WP2292"
"mmu-miR-18a-5p","WP113, WP1254, WP1270, WP1560, WP1763, WP193, WP2841, WP2902, WP339, WP3632, WP3675, WP3991, WP447, WP488, WP512, WP572, WP65, WP85"
"mmu-miR-18b-5p","WP113, WP1763, WP3675, WP3991, WP488, WP572"
"mmu-miR-192-5p","WP113"
"mmu-miR-193b-3p","WP2841, WP407"
"mmu-miR-194-5p","WP1396, WP339, WP3857, WP403, WP539, WP723"
"mmu-miR-195a-5p","WP113, WP1244, WP1254, WP1496, WP1763, WP2075, WP2084, WP2087, WP2432, WP273, WP2872, WP2902, WP297, WP3632, WP3638, WP373, WP3855, WP3979, WP403, WP413, WP441, WP450, WP512, WP539, WP571, WP723, WP85"
"mmu-miR-196a-5p","WP113, WP493"
"mmu-miR-196b-5p","WP113, WP493"
"mmu-miR-199a-3p","WP113, WP1272, WP1763, WP2067, WP2074, WP265, WP295, WP339, WP3663, WP512"
"mmu-miR-199a-5p","WP116, WP1763, WP2084, WP2087, WP2841, WP2902, WP3632, WP447"
"mmu-miR-199b-3p","WP116, WP2573, WP265, WP29"
"mmu-miR-19a-3p","WP113, WP1243, WP1254, WP1266, WP1396, WP1496, WP1560, WP1596, WP1763, WP193, WP2075, WP222, WP2432, WP246, WP2573, WP2841, WP29, WP2902, WP310, WP339, WP3632, WP3675, WP3857, WP441, WP447, WP493, WP539, WP553, WP571, WP65, WP723, WP85"
"mmu-miR-19b-3p","WP113, WP1498, WP1763, WP193, WP2074, WP2432, WP2841, WP2902, WP339, WP3675, WP385, WP3857, WP403, WP447, WP539, WP553, WP572, WP65, WP723, WP85"
"mmu-miR-1a-3p","WP1246, WP1249, WP1254, WP1259, WP1266, WP1270, WP1396, WP1496, WP150, WP1526, WP1560, WP163, WP1763, WP193, WP201, WP2067, WP2074, WP2075, WP216, WP2185, WP2292, WP232, WP2432, WP246, WP265, WP2841, WP2852, WP2872, WP29, WP2902, WP2910, WP298, WP310, WP317, WP339, WP350, WP3632, WP3675, WP373, WP374, WP385, WP3855, WP3857, WP387, WP403, WP407, WP41, WP431, WP447, WP450, WP458, WP493, WP509, 
WP512, WP523, WP539, WP553, WP572, WP6, WP608, WP65, WP723, WP85, WP87"
"mmu-miR-200a-3p","WP113, WP116, WP1254, WP1270, WP151, WP1560, WP1763, WP201, WP202, WP2067, WP2074, WP2084, WP2573, WP2910, WP339, WP3857, WP403, WP447, WP512, WP539, WP723"
"mmu-miR-200b-3p","WP108, WP113, WP1244, WP1254, WP1261, WP151, WP1763, WP193, WP202, WP2075, WP251, WP265, WP2841, WP339, WP3663, WP385, WP387, WP403, WP493, WP512, WP539, WP571, WP572, WP65, WP723, WP85"
"mmu-miR-200c-3p","WP108, WP113, WP1244, WP1254, WP1261, WP1498, WP151, WP1763, WP193, WP202, WP251, WP265, WP2841, WP339, WP3663, WP385, WP387, WP403, WP493, WP512, WP539, WP571, WP572, WP65, WP723, WP85"
"mmu-miR-202-3p","WP1396, WP2292, WP234, WP41"
"mmu-miR-203-3p","WP1254, WP1763, WP246, WP37, WP572, WP6, WP85, WP88"
"mmu-miR-203-5p","WP113, WP151, WP1560, WP1763, WP201, WP2067, WP2074, WP2432, WP2573, WP339, WP3857, WP403, WP447, WP512, WP539, WP723"
"mmu-miR-204-5p","WP113, WP1244, WP1245, WP1246, WP1254, WP1256, WP1270, WP1496, WP1983, WP2075, WP2084, WP2432, WP2910, WP373, WP3855, WP450, WP539, WP571, WP85"
"mmu-miR-205-5p","WP1261, WP151, WP1560, WP1763, WP193, WP2074, WP2075, WP2292, WP246, WP265, WP2841, WP2872, WP2902, WP297, WP317, WP339, WP350, WP3638, WP3675, WP373, WP387, WP403, WP447, WP493, WP539, WP65, WP723, WP85"
"mmu-miR-206-3p","WP1244, WP1259, WP1270, WP1396, WP150, WP151, WP1560, WP1763, WP2074, WP2185, WP2432, WP246, WP2573, WP265, WP2841, WP29, WP310, WP339, WP385, WP3857, WP403, WP41, WP431, WP441, WP458, WP493, WP509, WP523, WP539, WP553, WP572, WP65, WP723, WP85, WP87"
"mmu-miR-208a-3p","WP1270"
"mmu-miR-20a-5p","WP10, WP113, WP1244, WP1249, WP1254, WP1266, WP1270, WP1498, WP151, WP1560, WP1763, WP193, WP201, WP202, WP2067, WP2075, WP2292, WP251, WP265, WP2841, WP2902, WP2910, WP297, WP339, WP350, WP3638, WP3663, WP3675, WP37, WP373, WP3864, WP387, WP407, WP412, WP447, WP450, WP493, WP512, WP523, WP539, WP572, WP578, WP65, WP723, WP85, WP88"
"mmu-miR-20b-5p","WP1270, WP1763, WP202, WP2067, WP2841, WP3864, WP447, WP512, WP85"
"mmu-miR-210-3p","WP116, WP1498, WP1763, WP2067, WP2292, WP2432, WP2841, WP3652, WP3663, WP373, WP387, WP407, WP447, WP493, WP512, WP662"
"mmu-miR-211-5p","WP113, WP1270, WP265, WP512, WP539"
