"title","version","wpid","species","url"
"Trans-sulfuration pathway","WikiPathways_20170210","WP2333","Homo sapiens","http://www.wikipathways.org/instance/WP2333_r72015"
"ACE Inhibitor Pathway","WikiPathways_20170210","WP554","Homo sapiens","http://www.wikipathways.org/instance/WP554_r84372"
"Sulindac Metabolic Pathway","WikiPathways_20170210","WP2542","Homo sapiens","http://www.wikipathways.org/instance/WP2542_r88583"
"Serotonin Receptor 4/6/7 and NR3C Signaling","WikiPathways_20170210","WP734","Homo sapiens","http://www.wikipathways.org/instance/WP734_r74438"
"IL-6 signaling pathway","WikiPathways_20170210","WP364","Homo sapiens","http://www.wikipathways.org/instance/WP364_r89832"
"Influenza A virus infection","WikiPathways_20170210","WP1438","Homo sapiens","http://www.wikipathways.org/instance/WP1438_r80038"
"Type II interferon signaling (IFNG)","WikiPathways_20170210","WP619","Homo sapiens","http://www.wikipathways.org/instance/WP619_r71168"
"Cell Differentiation - Index","WikiPathways_20170210","WP2029","Homo sapiens","http://www.wikipathways.org/instance/WP2029_r82903"
"MFAP5-mediated ovarian cancer cell motility and invasiveness","WikiPathways_20170210","WP3301","Homo sapiens","http://www.wikipathways.org/instance/WP3301_r87836"
"GPCRs, Class B Secretin-like","WikiPathways_20170210","WP334","Homo sapiens","http://www.wikipathways.org/instance/WP334_r79716"
"Interactome of polycomb repressive complex 2 (PRC2) ","WikiPathways_20170210","WP2916","Homo sapiens","http://www.wikipathways.org/instance/WP2916_r88672"
"Wnt Signaling Pathway","WikiPathways_20170210","WP428","Homo sapiens","http://www.wikipathways.org/instance/WP428_r90292"
"Ovarian Infertility Genes","WikiPathways_20170210","WP34","Homo sapiens","http://www.wikipathways.org/instance/WP34_r88253"
"Fatty Acid Beta Oxidation","WikiPathways_20170210","WP143","Homo sapiens","http://www.wikipathways.org/instance/WP143_r79783"
"EGF/EGFR Signaling Pathway","WikiPathways_20170210","WP437","Homo sapiens","http://www.wikipathways.org/instance/WP437_r79266"
"Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","WikiPathways_20170210","WP2380","Homo sapiens","http://www.wikipathways.org/instance/WP2380_r89803"
"Endothelin Pathways","WikiPathways_20170210","WP2197","Homo sapiens","http://www.wikipathways.org/instance/WP2197_r74852"
"MicroRNAs in cardiomyocyte hypertrophy","WikiPathways_20170210","WP1544","Homo sapiens","http://www.wikipathways.org/instance/WP1544_r89794"
"Retinoblastoma (RB) in Cancer","WikiPathways_20170210","WP2446","Homo sapiens","http://www.wikipathways.org/instance/WP2446_r87639"
"ATM Signaling Pathway","WikiPathways_20170210","WP2516","Homo sapiens","http://www.wikipathways.org/instance/WP2516_r90247"
"Calcium Regulation in the Cardiac Cell","WikiPathways_20170210","WP536","Homo sapiens","http://www.wikipathways.org/instance/WP536_r90194"
"miRNA Regulation of DNA Damage Response","WikiPathways_20170210","WP1530","Homo sapiens","http://www.wikipathways.org/instance/WP1530_r84694"
"Rac1/Pak1/p38/MMP-2 pathway","WikiPathways_20170210","WP3303","Homo sapiens","http://www.wikipathways.org/instance/WP3303_r87628"
"Dual hijack model of Vif in HIV infection","WikiPathways_20170210","WP3300","Homo sapiens","http://www.wikipathways.org/instance/WP3300_r87896"
"Thyroxine (Thyroid Hormone) Production","WikiPathways_20170210","WP1981","Homo sapiens","http://www.wikipathways.org/instance/WP1981_r85189"
"Matrix Metalloproteinases","WikiPathways_20170210","WP129","Homo sapiens","http://www.wikipathways.org/instance/WP129_r72054"
"Oxidative Stress","WikiPathways_20170210","WP408","Homo sapiens","http://www.wikipathways.org/instance/WP408_r78546"
"Glycerophospholipid Biosynthetic Pathway","WikiPathways_20170210","WP2533","Homo sapiens","http://www.wikipathways.org/instance/WP2533_r85647"
"Translation Factors","WikiPathways_20170210","WP107","Homo sapiens","http://www.wikipathways.org/instance/WP107_r89328"
"Zinc homeostasis","WikiPathways_20170210","WP3529","Homo sapiens","http://www.wikipathways.org/instance/WP3529_r86971"
"Gut-Liver Indole Metabolism ","WikiPathways_20170210","WP3627","Homo sapiens","http://www.wikipathways.org/instance/WP3627_r90137"
"Leptin signaling pathway","WikiPathways_20170210","WP2034","Homo sapiens","http://www.wikipathways.org/instance/WP2034_r89856"
"Histone Modifications","WikiPathways_20170210","WP2369","Homo sapiens","http://www.wikipathways.org/instance/WP2369_r87373"
"Senescence and Autophagy in Cancer","WikiPathways_20170210","WP615","Homo sapiens","http://www.wikipathways.org/instance/WP615_r81193"
"Focal Adhesion","WikiPathways_20170210","WP306","Homo sapiens","http://www.wikipathways.org/instance/WP306_r80308"
"Serotonin and anxiety","WikiPathways_20170210","WP3947","Homo sapiens","http://www.wikipathways.org/instance/WP3947_r90856"
"IL-9 Signaling Pathway","WikiPathways_20170210","WP22","Homo sapiens","http://www.wikipathways.org/instance/WP22_r79264"
"Oxidative phosphorylation","WikiPathways_20170210","WP623","Homo sapiens","http://www.wikipathways.org/instance/WP623_r86899"
"Development and heterogeneity of the ILC family","WikiPathways_20170210","WP3893","Homo sapiens","http://www.wikipathways.org/instance/WP3893_r89702"
"Neural Crest Differentiation","WikiPathways_20170210","WP2064","Homo sapiens","http://www.wikipathways.org/instance/WP2064_r79263"
"Glucocorticoid & Mineralcorticoid Metabolism","WikiPathways_20170210","WP237","Homo sapiens","http://www.wikipathways.org/instance/WP237_r78497"
"Toll-like Receptor Signaling","WikiPathways_20170210","WP3858","Homo sapiens","http://www.wikipathways.org/instance/WP3858_r89945"
"Human Thyroid Stimulating Hormone (TSH) signaling pathway","WikiPathways_20170210","WP2032","Homo sapiens","http://www.wikipathways.org/instance/WP2032_r89823"
"Oxidation by Cytochrome P450","WikiPathways_20170210","WP43","Homo sapiens","http://www.wikipathways.org/instance/WP43_r84102"
"IL-5 Signaling Pathway","WikiPathways_20170210","WP127","Homo sapiens","http://www.wikipathways.org/instance/WP127_r78498"
"Dopaminergic Neurogenesis","WikiPathways_20170210","WP2855","Homo sapiens","http://www.wikipathways.org/instance/WP2855_r87239"
"IL17 signaling pathway","WikiPathways_20170210","WP2112","Homo sapiens","http://www.wikipathways.org/instance/WP2112_r89838"
"Globo Sphingolipid Metabolism","WikiPathways_20170210","WP1424","Homo sapiens","http://www.wikipathways.org/instance/WP1424_r87539"
"Osteoblast Signaling","WikiPathways_20170210","WP322","Homo sapiens","http://www.wikipathways.org/instance/WP322_r90527"
"Methylation Pathways","WikiPathways_20170210","WP704","Homo sapiens","http://www.wikipathways.org/instance/WP704_r88909"
"Estrogen metabolism","WikiPathways_20170210","WP697","Homo sapiens","http://www.wikipathways.org/instance/WP697_r86903"
"Folate Metabolism","WikiPathways_20170210","WP176","Homo sapiens","http://www.wikipathways.org/instance/WP176_r85063"
"Gastric Cancer Network 1","WikiPathways_20170210","WP2361","Homo sapiens","http://www.wikipathways.org/instance/WP2361_r86831"
"Transcriptional activation by NRF2","WikiPathways_20170210","WP3","Homo sapiens","http://www.wikipathways.org/instance/WP3_r79527"
"TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer","WikiPathways_20170210","WP2868","Homo sapiens","http://www.wikipathways.org/instance/WP2868_r90260"
"RIG-I-like Receptor Signaling","WikiPathways_20170210","WP3865","Homo sapiens","http://www.wikipathways.org/instance/WP3865_r88186"
"Interleukin-1 Induced Activation of NF-kappa-B","WikiPathways_20170210","WP3656","Homo sapiens","http://www.wikipathways.org/instance/WP3656_r89274"
"Synthesis and Degradation of Ketone Bodies","WikiPathways_20170210","WP311","Homo sapiens","http://www.wikipathways.org/instance/WP311_r68921"
"Selenium Metabolism and Selenoproteins","WikiPathways_20170210","WP28","Homo sapiens","http://www.wikipathways.org/instance/WP28_r71888"
"Oxidative Damage","WikiPathways_20170210","WP3941","Homo sapiens","http://www.wikipathways.org/instance/WP3941_r90810"
"ERK Pathway in Huntington's Disease","WikiPathways_20170210","WP3853","Homo sapiens","http://www.wikipathways.org/instance/WP3853_r89748"
"Wnt Signaling Pathway Netpath","WikiPathways_20170210","WP363","Homo sapiens","http://www.wikipathways.org/instance/WP363_r78571"
"Photodynamic therapy-induced NF-kB survival signaling","WikiPathways_20170210","WP3617","Homo sapiens","http://www.wikipathways.org/instance/WP3617_r88316"
"IL-3 Signaling Pathway","WikiPathways_20170210","WP286","Homo sapiens","http://www.wikipathways.org/instance/WP286_r78583"
"Eicosanoid Synthesis","WikiPathways_20170210","WP167","Homo sapiens","http://www.wikipathways.org/instance/WP167_r89514"
"Preimplantation Embryo","WikiPathways_20170210","WP3527","Homo sapiens","http://www.wikipathways.org/instance/WP3527_r88345"
"MAPK Cascade","WikiPathways_20170210","WP422","Homo sapiens","http://www.wikipathways.org/instance/WP422_r72129"
"TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway","WikiPathways_20170210","WP2036","Homo sapiens","http://www.wikipathways.org/instance/WP2036_r89910"
"Cytosine methylation","WikiPathways_20170210","WP3585","Homo sapiens","http://www.wikipathways.org/instance/WP3585_r88828"
"Serotonin Receptor 2 and STAT3 Signaling","WikiPathways_20170210","WP733","Homo sapiens","http://www.wikipathways.org/instance/WP733_r74441"
"Non-homologous end joining","WikiPathways_20170210","WP438","Homo sapiens","http://www.wikipathways.org/instance/WP438_r80022"
"Glycolysis and Gluconeogenesis","WikiPathways_20170210","WP534","Homo sapiens","http://www.wikipathways.org/instance/WP534_r90450"
"Serotonin Transporter Activity","WikiPathways_20170210","WP1455","Homo sapiens","http://www.wikipathways.org/instance/WP1455_r89635"
"Glial Cell Differentiation","WikiPathways_20170210","WP2276","Homo sapiens","http://www.wikipathways.org/instance/WP2276_r87535"
"Osteopontin Signaling","WikiPathways_20170210","WP1434","Homo sapiens","http://www.wikipathways.org/instance/WP1434_r78545"
"ESC Pluripotency Pathways","WikiPathways_20170210","WP3931","Homo sapiens","http://www.wikipathways.org/instance/WP3931_r91005"
"ErbB Signaling Pathway","WikiPathways_20170210","WP673","Homo sapiens","http://www.wikipathways.org/instance/WP673_r86901"
"Mismatch repair","WikiPathways_20170210","WP531","Homo sapiens","http://www.wikipathways.org/instance/WP531_r69021"
"TLR4 Signaling and Tolerance","WikiPathways_20170210","WP3851","Homo sapiens","http://www.wikipathways.org/instance/WP3851_r90114"
"Alpha 6 Beta 4 signaling pathway","WikiPathways_20170210","WP244","Homo sapiens","http://www.wikipathways.org/instance/WP244_r85199"
"DDX1 as a regulatory component of the Drosha microprocessor","WikiPathways_20170210","WP2942","Homo sapiens","http://www.wikipathways.org/instance/WP2942_r87380"
"Alzheimers Disease","WikiPathways_20170210","WP2059","Homo sapiens","http://www.wikipathways.org/instance/WP2059_r87372"
"EV release from cardiac cells and their functional effects","WikiPathways_20170210","WP3297","Homo sapiens","http://www.wikipathways.org/instance/WP3297_r88048"
"Folate-Alcohol and Cancer Pathway","WikiPathways_20170210","WP1589","Homo sapiens","http://www.wikipathways.org/instance/WP1589_r87508"
"Ganglio Sphingolipid Metabolism","WikiPathways_20170210","WP1423","Homo sapiens","http://www.wikipathways.org/instance/WP1423_r91044"
"Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway","WikiPathways_20170210","WP3670","Homo sapiens","http://www.wikipathways.org/instance/WP3670_r90107"
"Wnt Signaling in Kidney Disease","WikiPathways_20170210","WP3939","Homo sapiens","http://www.wikipathways.org/instance/WP3939_r90804"
"Bone Morphogenic Protein (BMP) Signalling and Regulation","WikiPathways_20170210","WP1425","Homo sapiens","http://www.wikipathways.org/instance/WP1425_r86082"
"Exercise-induced Circadian Regulation","WikiPathways_20170210","WP410","Homo sapiens","http://www.wikipathways.org/instance/WP410_r90752"
"Parkinsons Disease Pathway","WikiPathways_20170210","WP2371","Homo sapiens","http://www.wikipathways.org/instance/WP2371_r87374"
"Biogenic Amine Synthesis","WikiPathways_20170210","WP550","Homo sapiens","http://www.wikipathways.org/instance/WP550_r90171"
"Alanine and aspartate metabolism","WikiPathways_20170210","WP106","Homo sapiens","http://www.wikipathways.org/instance/WP106_r91240"
"Caffeine and Theobromine metabolism","WikiPathways_20170210","WP3633","Homo sapiens","http://www.wikipathways.org/instance/WP3633_r85154"
"Peroxisomal beta-oxidation of tetracosanoyl-CoA","WikiPathways_20170210","WP1941","Homo sapiens","http://www.wikipathways.org/instance/WP1941_r73548"
"Copper homeostasis","WikiPathways_20170210","WP3286","Homo sapiens","http://www.wikipathways.org/instance/WP3286_r89205"
"TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)","WikiPathways_20170210","WP2453","Homo sapiens","http://www.wikipathways.org/instance/WP2453_r87731"
"Oncostatin M Signaling Pathway","WikiPathways_20170210","WP2374","Homo sapiens","http://www.wikipathways.org/instance/WP2374_r73668"
"Simplified Depiction of MYD88 Distinct Input-Output Pathway","WikiPathways_20170210","WP3877","Homo sapiens","http://www.wikipathways.org/instance/WP3877_r89291"
"mRNA Processing","WikiPathways_20170210","WP411","Homo sapiens","http://www.wikipathways.org/instance/WP411_r79980"
"Nuclear Receptors in Lipid Metabolism and Toxicity","WikiPathways_20170210","WP299","Homo sapiens","http://www.wikipathways.org/instance/WP299_r89331"
"Vitamin B12 Metabolism","WikiPathways_20170210","WP1533","Homo sapiens","http://www.wikipathways.org/instance/WP1533_r85340"
"miR-148a/miR-31/FIH1/HIF1Î±-Notch signaling in glioblastoma ","WikiPathways_20170210","WP3593","Homo sapiens","http://www.wikipathways.org/instance/WP3593_r87762"
"Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs)","WikiPathways_20170210","WP688","Homo sapiens","http://www.wikipathways.org/instance/WP688_r84769"
"Glucuronidation","WikiPathways_20170210","WP698","Homo sapiens","http://www.wikipathways.org/instance/WP698_r79224"
"Hematopoietic Stem Cell Differentiation","WikiPathways_20170210","WP2849","Homo sapiens","http://www.wikipathways.org/instance/WP2849_r89818"
"Photodynamic therapy-induced HIF-1 survival signaling","WikiPathways_20170210","WP3614","Homo sapiens","http://www.wikipathways.org/instance/WP3614_r89311"
"Sulfation Biotransformation Reaction","WikiPathways_20170210","WP692","Homo sapiens","http://www.wikipathways.org/instance/WP692_r69031"
"miRNAs involved in DNA damage response","WikiPathways_20170210","WP1545","Homo sapiens","http://www.wikipathways.org/instance/WP1545_r84697"
"eIF5A regulation in response to inhibition of the nuclear export system","WikiPathways_20170210","WP3302","Homo sapiens","http://www.wikipathways.org/instance/WP3302_r87966"
"Nicotine Activity on Dopaminergic Neurons","WikiPathways_20170210","WP1602","Homo sapiens","http://www.wikipathways.org/instance/WP1602_r78486"
"Codeine and Morphine Metabolism","WikiPathways_20170210","WP1604","Homo sapiens","http://www.wikipathways.org/instance/WP1604_r89511"
"Glycogen Metabolism","WikiPathways_20170210","WP500","Homo sapiens","http://www.wikipathways.org/instance/WP500_r89807"
"Regulation of Apoptosis by Parathyroid Hormone-related Protein","WikiPathways_20170210","WP3872","Homo sapiens","http://www.wikipathways.org/instance/WP3872_r89397"
"Integrated Cancer Pathway","WikiPathways_20170210","WP1971","Homo sapiens","http://www.wikipathways.org/instance/WP1971_r82939"
"Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation","WikiPathways_20170210","WP314","Homo sapiens","http://www.wikipathways.org/instance/WP314_r87381"
"T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection","WikiPathways_20170210","WP3863","Homo sapiens","http://www.wikipathways.org/instance/WP3863_r90702"
"Ectoderm Differentiation","WikiPathways_20170210","WP2858","Homo sapiens","http://www.wikipathways.org/instance/WP2858_r89329"
"Overview of nanoparticle effects","WikiPathways_20170210","WP3287","Homo sapiens","http://www.wikipathways.org/instance/WP3287_r89371"
"Cardiac Progenitor Differentiation","WikiPathways_20170210","WP2406","Homo sapiens","http://www.wikipathways.org/instance/WP2406_r89157"
"Hepatitis C and Hepatocellular Carcinoma","WikiPathways_20170210","WP3646","Homo sapiens","http://www.wikipathways.org/instance/WP3646_r88640"
"Felbamate Metabolism","WikiPathways_20170210","WP2816","Homo sapiens","http://www.wikipathways.org/instance/WP2816_r88575"
"Polyol Pathway","WikiPathways_20170210","WP690","Homo sapiens","http://www.wikipathways.org/instance/WP690_r88335"
"Differentiation of white and brown adipocyte   ","WikiPathways_20170210","WP2895","Homo sapiens","http://www.wikipathways.org/instance/WP2895_r87889"
"Metapathway biotransformation","WikiPathways_20170210","WP702","Homo sapiens","http://www.wikipathways.org/instance/WP702_r73516"
"Serotonin Receptor 2 and ELK-SRF/GATA4 signaling","WikiPathways_20170210","WP732","Homo sapiens","http://www.wikipathways.org/instance/WP732_r80010"
"Estrogen Receptor Pathway","WikiPathways_20170210","WP2881","Homo sapiens","http://www.wikipathways.org/instance/WP2881_r88032"
"Urea cycle and metabolism of amino groups","WikiPathways_20170210","WP497","Homo sapiens","http://www.wikipathways.org/instance/WP497_r72142"
"Pathogenic Escherichia coli infection","WikiPathways_20170210","WP2272","Homo sapiens","http://www.wikipathways.org/instance/WP2272_r78594"
"GPR40 Pathway","WikiPathways_20170210","WP3958","Homo sapiens","http://www.wikipathways.org/instance/WP3958_r91307"
"Vitamin A and Carotenoid Metabolism","WikiPathways_20170210","WP716","Homo sapiens","http://www.wikipathways.org/instance/WP716_r83589"
"Monoamine Transport","WikiPathways_20170210","WP727","Homo sapiens","http://www.wikipathways.org/instance/WP727_r90193"
"Initiation of transcription and translation elongation at the HIV-1 LTR","WikiPathways_20170210","WP3414","Homo sapiens","http://www.wikipathways.org/instance/WP3414_r87386"
"PDGF Pathway","WikiPathways_20170210","WP2526","Homo sapiens","http://www.wikipathways.org/instance/WP2526_r82681"
"TarBasePathway","WikiPathways_20170210","WP1992","Homo sapiens","http://www.wikipathways.org/instance/WP1992_r78296"
"Gastric acid production","WikiPathways_20170210","WP2596","Homo sapiens","http://www.wikipathways.org/instance/WP2596_r87520"
"mir34a and TGIF2 in osteoclastogenesis","WikiPathways_20170210","WP2866","Homo sapiens","http://www.wikipathways.org/instance/WP2866_r87842"
"MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ","WikiPathways_20170210","WP3849","Homo sapiens","http://www.wikipathways.org/instance/WP3849_r89943"
"DNA IR-Doble Strand Breaks (DSBs) and cellular response via ATM","WikiPathways_20170210","WP3959","Homo sapiens","http://www.wikipathways.org/instance/WP3959_r91329"
"Peptide GPCRs","WikiPathways_20170210","WP24","Homo sapiens","http://www.wikipathways.org/instance/WP24_r90195"
"SRF and miRs in Smooth Muscle Differentiation and Proliferation","WikiPathways_20170210","WP1991","Homo sapiens","http://www.wikipathways.org/instance/WP1991_r89637"
"Synaptic Vesicle Pathway","WikiPathways_20170210","WP2267","Homo sapiens","http://www.wikipathways.org/instance/WP2267_r85090"
"Integrin-mediated Cell Adhesion","WikiPathways_20170210","WP185","Homo sapiens","http://www.wikipathways.org/instance/WP185_r88160"
"Oxytocin signaling","WikiPathways_20170210","WP2889","Homo sapiens","http://www.wikipathways.org/instance/WP2889_r88286"
"Microglia Pathogen Phagocytosis Pathway","WikiPathways_20170210","WP3937","Homo sapiens","http://www.wikipathways.org/instance/WP3937_r90777"
"Pilocytic astrocytoma","WikiPathways_20170210","WP2253","Homo sapiens","http://www.wikipathways.org/instance/WP2253_r74520"
"Mitochondrial Gene Expression","WikiPathways_20170210","WP391","Homo sapiens","http://www.wikipathways.org/instance/WP391_r71373"
"Composition of Lipid Particles","WikiPathways_20170210","WP3601","Homo sapiens","http://www.wikipathways.org/instance/WP3601_r89202"
"GPCRs, Class A Rhodopsin-like","WikiPathways_20170210","WP455","Homo sapiens","http://www.wikipathways.org/instance/WP455_r81793"
"Notch Signaling Pathway","WikiPathways_20170210","WP268","Homo sapiens","http://www.wikipathways.org/instance/WP268_r70096"
"Aryl Hydrocarbon Receptor Pathway","WikiPathways_20170210","WP2873","Homo sapiens","http://www.wikipathways.org/instance/WP2873_r88902"
"Fatty Acid Biosynthesis","WikiPathways_20170210","WP357","Homo sapiens","http://www.wikipathways.org/instance/WP357_r85181"
"Deregulation of Rab and Rab Effector Genes in Bladder Cancer","WikiPathways_20170210","WP2291","Homo sapiens","http://www.wikipathways.org/instance/WP2291_r85341"
"Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling","WikiPathways_20170210","WP3612","Homo sapiens","http://www.wikipathways.org/instance/WP3612_r88317"
"IL-4 Signaling Pathway","WikiPathways_20170210","WP395","Homo sapiens","http://www.wikipathways.org/instance/WP395_r89828"
"Leptin and adiponectin","WikiPathways_20170210","WP3934","Homo sapiens","http://www.wikipathways.org/instance/WP3934_r90768"
"Gastric Cancer Network 2","WikiPathways_20170210","WP2363","Homo sapiens","http://www.wikipathways.org/instance/WP2363_r87523"
"Leptin Insulin Overlap","WikiPathways_20170210","WP3935","Homo sapiens","http://www.wikipathways.org/instance/WP3935_r90771"
"Structural Pathway of Interleukin 1 (IL-1)","WikiPathways_20170210","WP2637","Homo sapiens","http://www.wikipathways.org/instance/WP2637_r87707"
"Monoamine GPCRs","WikiPathways_20170210","WP58","Homo sapiens","http://www.wikipathways.org/instance/WP58_r80015"
"Aflatoxin B1 metabolism","WikiPathways_20170210","WP699","Homo sapiens","http://www.wikipathways.org/instance/WP699_r70509"
"T-Cell antigen Receptor (TCR)  Signaling Pathway","WikiPathways_20170210","WP69","Homo sapiens","http://www.wikipathways.org/instance/WP69_r89937"
"Complement Activation","WikiPathways_20170210","WP545","Homo sapiens","http://www.wikipathways.org/instance/WP545_r89636"
"Cardiac Hypertrophic Response","WikiPathways_20170210","WP2795","Homo sapiens","http://www.wikipathways.org/instance/WP2795_r85087"
"TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition","WikiPathways_20170210","WP3859","Homo sapiens","http://www.wikipathways.org/instance/WP3859_r90120"
"Selenium Micronutrient Network","WikiPathways_20170210","WP15","Homo sapiens","http://www.wikipathways.org/instance/WP15_r88908"
"Farnesoid X Receptor  Pathway","WikiPathways_20170210","WP2879","Homo sapiens","http://www.wikipathways.org/instance/WP2879_r88056"
"Bladder Cancer","WikiPathways_20170210","WP2828","Homo sapiens","http://www.wikipathways.org/instance/WP2828_r89143"
"ID signaling pathway","WikiPathways_20170210","WP53","Homo sapiens","http://www.wikipathways.org/instance/WP53_r67360"
"Wnt Signaling Pathway and Pluripotency","WikiPathways_20170210","WP399","Homo sapiens","http://www.wikipathways.org/instance/WP399_r90291"
"Hypertrophy Model","WikiPathways_20170210","WP516","Homo sapiens","http://www.wikipathways.org/instance/WP516_r88898"
"Toll-like Receptor Signaling Pathway","WikiPathways_20170210","WP75","Homo sapiens","http://www.wikipathways.org/instance/WP75_r83867"
"Interferon type I signaling pathways","WikiPathways_20170210","WP585","Homo sapiens","http://www.wikipathways.org/instance/WP585_r85198"
"TYROBP Causal Network","WikiPathways_20170210","WP3945","Homo sapiens","http://www.wikipathways.org/instance/WP3945_r90843"
"Nucleotide GPCRs","WikiPathways_20170210","WP80","Homo sapiens","http://www.wikipathways.org/instance/WP80_r68938"
"Liver X Receptor Pathway","WikiPathways_20170210","WP2874","Homo sapiens","http://www.wikipathways.org/instance/WP2874_r88692"
"Drug Induction of Bile Acid Pathway","WikiPathways_20170210","WP2289","Homo sapiens","http://www.wikipathways.org/instance/WP2289_r88593"
"Diclofenac Metabolic Pathway","WikiPathways_20170210","WP2491","Homo sapiens","http://www.wikipathways.org/instance/WP2491_r73891"
"Integrated Pancreatic Cancer Pathway","WikiPathways_20170210","WP2377","Homo sapiens","http://www.wikipathways.org/instance/WP2377_r84983"
"Pathways Affected in Adenoid Cystic Carcinoma","WikiPathways_20170210","WP3651","Homo sapiens","http://www.wikipathways.org/instance/WP3651_r89271"
"Photodynamic therapy-induced AP-1 survival signaling.","WikiPathways_20170210","WP3611","Homo sapiens","http://www.wikipathways.org/instance/WP3611_r90923"
"Proprotein convertase subtilisin/kexin type 9 (PCSK9) mediated LDL receptor degradation","WikiPathways_20170210","WP2846","Homo sapiens","http://www.wikipathways.org/instance/WP2846_r89409"
"GPCRs, Class C Metabotropic glutamate, pheromone","WikiPathways_20170210","WP501","Homo sapiens","http://www.wikipathways.org/instance/WP501_r79715"
"Apoptosis Modulation and Signaling","WikiPathways_20170210","WP1772","Homo sapiens","http://www.wikipathways.org/instance/WP1772_r91293"
"Electron Transport Chain","WikiPathways_20170210","WP111","Homo sapiens","http://www.wikipathways.org/instance/WP111_r89727"
"TGF-beta Receptor Signaling","WikiPathways_20170210","WP560","Homo sapiens","http://www.wikipathways.org/instance/WP560_r90187"
"DNA Damage Response (only ATM dependent)","WikiPathways_20170210","WP710","Homo sapiens","http://www.wikipathways.org/instance/WP710_r79974"
"Estrogen signaling pathway","WikiPathways_20170210","WP712","Homo sapiens","http://www.wikipathways.org/instance/WP712_r78491"
"Target Of Rapamycin (TOR) Signaling","WikiPathways_20170210","WP1471","Homo sapiens","http://www.wikipathways.org/instance/WP1471_r90258"
"Cori Cycle","WikiPathways_20170210","WP1946","Homo sapiens","http://www.wikipathways.org/instance/WP1946_r79691"
"Arrhythmogenic Right Ventricular Cardiomyopathy","WikiPathways_20170210","WP2118","Homo sapiens","http://www.wikipathways.org/instance/WP2118_r71265"
